Codigo ,Fecha ,Muestra,Fo,Fm,Eficiencia ,Clorofila
H07A31,08-02-2019,1,,,,"22,3"
H07A31,08-02-2019,2,,,,"21,6"
H07A31,08-02-2019,3,,,,"15,1"
H07A31,08-02-2019,4,,,,"15,4"
H07A31,08-02-2019,5,,,,"18,9"
H07A31,13-02-2019,1,221,1251,"0,823","24,7"
H07A31,13-02-2019,2,228,1356,"0,831","32,8"
H07A31,13-02-2019,3,219,1056,"0,792","27,5"
H07A31,13-02-2019,4,195,921,"0,788","30,1"
H07A31,13-02-2019,5,290,1101,"0,836","37,5"
H07A31,28-02-2019,1,,,,"20,8"
H07A31,28-02-2019,2,,,,"23,2"
H07A31,28-02-2019,3,,,,"35,4"
H07A31,28-02-2019,4,,,,27
H07A31,18-02-2019,5,,,,"25,7"
H07A31,05-03-2019,1,215,970,"0,778","23,8"
H07A31,05-03-2019,2,203,908,"0,776","39,9"
H07A31,05-03-2019,3,203,965,"0,789","50,5"
H07A31,05-03-2019,4,202,961,"0,789","40,3"
H07A31,05-03-2019,5,201,1095,"0,816","25,4"
H07A31,10-03-2019,1,204,1089,"0,812",34
H07A31,10-03-2019,2,218,998,"0,781","57,5"
H07A31,10-03-2019,3,248,803,"0,691","23,4"
H07A31,10-03-2019,4,210,811,"0,741","25,8"
H07A31,10-03-2019,5,170,713,"0,761","27,9"
H07A31,15-03-2019,1,422,871,"0,515","26,9"
H07A31,15-03-2019,2,240,1005,"0,761","18,3"
H07A31,15-03-2019,3,295,905,"0,674","16,6"
H07A31,15-03-2019,4,241,1036,"0,767","26,7"
H07A31,15-03-2019,5,232,1389,"0,832","37,5"
H07A31,30-03-2019,1,112,416,"26,3",
H07A31,30-03-2019,2,102,425,"32,9",
H07A31,30-03-2019,3,99,325,26,
H07A31,30-03-2019,4,166,1046,"34,9",
H07A31,30-03-2019,5,145,856,"29,1",
H07A31,29-04-2019,1,445,724,"0,385","13,9"
H07A31,29-04-2019,2,286,898,"0,681","22,7"
H07A31,29-04-2019,3,32,1041,"0,692",9
H07A31,29-04-2019,4,299,1349,"0,778","21,8"
H07A31,29-04-2019,5,275,761,"0,638","6,3"
H07A31,04-05-2019,1,259,887,"0,708","17,7"
H07A31,04-05-2019,2,307,1031,"0,702","6,7"
H07A31,04-05-2019,3,302,1261,"0,76","17,6"
H07A31,04-05-2019,4,290,996,"0,708","6,3"
H07A31,04-05-2019,5,229,862,"0,734","5,6"
H23A17,08-02-2019,1,,,,"51,3"
H23A17,08-02-2019,2,,,,"48,8"
H23A17,08-02-2019,3,,,,"46,5"
H23A17,08-02-2019,4,,,,"54,4"
H23A17,08-02-2019,5,,,,"52,8"
H23A17,13-02-2019,1,182,741,"0,754","69,1"
H23A17,13-02-2019,2,167,791,"0,788","38,8"
H23A17,13-02-2019,3,209,968,"0,784",36
H23A17,13-02-2019,4,207,1063,"0,805",46
H23A17,13-02-2019,5,190,1027,"0,814","69,8"
H23A17,28-02-2019,1,,,0,"52,7"
H23A17,28-02-2019,2,,,,"44,5"
H23A17,28-02-2019,3,,,,"65,7"
H23A17,28-02-2019,4,,,,"30,2"
H23A17,28-02-2019,5,,,,"63,4"
H23A17,05-03-2019,1,199,1096,"0,818","59,3"
H23A17,05-03-2019,2,209,816,"0,743","66,4"
H23A17,05-03-2019,3,201,681,"0,704","45,2"
H23A17,05-03-2019,4,174,633,"0,725","73,3"
H23A17,05-03-2019,5,175,539,"0,675","22,8"
H23A17,10-03-2019,1,155,876,"0,823","69,3"
H23A17,10-03-2019,2,258,693,"0,627","12,2"
H23A17,10-03-2019,3,183,559,"0,672","17,2"
H23A17,10-03-2019,4,187,629,"0,702","17,1"
H23A17,10-03-2019,5,182,1000,"0,818","62,3"
H23A17,15-03-2019,1,329,1090,"0,698","41,3"
H23A17,15-03-2019,2,319,843,"0,621","65,7"
H23A17,15-03-2019,3,196,1025,"0,808","89,4"
H23A17,15-03-2019,4,191,764,"0,75","51,8"
H23A17,15-03-2019,5,326,1216,"0,731","23,2"
H23A17,30-03-2019,1,187,917,"55,3",
H23A17,30-03-2019,2,208,858,"19,2",
H23A17,30-03-2019,3,226,750,"45,6",
H23A17,30-03-2019,4,166,615,"74,7",
H23A17,30-03-2019,5,204,1021,"33,8",
H23A17,29-04-2019,1,218,669,"0,688","10,7"
H23A17,29-04-2019,2,246,960,"0,743","22,5"
H23A17,29-04-2019,3,357,1067,"0,665","18,8"
H23A17,29-04-2019,4,253,759,"0,666",19
H23A17,29-04-2019,5,221,414,"0,466","11,5"
H23A17,04-05-2019,1,229,1132,"0,797","60,3"
H23A17,04-05-2019,2,274,1268,"0,783","32,7"
H23A17,04-05-2019,3,214,975,"0,78","69,2"
H23A17,04-05-2019,4,258,1217,"0,788","34,4"
H23A17,04-05-2019,5,214,967,"0,778","40,5"
H29A05,08-02-2019,1,,,,"65,2"
H29A05,08-02-2019,2,,,,"46,1"
H29A05,08-02-2019,3,,,,56
H29A05,08-02-2019,4,,,,"38,4"
H29A05,08-02-2019,5,,,,"68,9"
H29A05,13-02-2019,1,172,848,"0,797","56,6"
H29A05,13-02-2019,2,153,757,"0,797","54,6"
H29A05,13-02-2019,3,134,761,"0,823","29,2"
H29A05,13-02-2019,4,148,807,"0,816","71,7"
H29A05,13-02-2019,5,159,621,"0,743","44,6"
H29A05,28-02-2019,1,,,,"28,9"
H29A05,28-02-2019,2,,,,"50,2"
H29A05,28-02-2019,3,,,,57
H29A05,28-02-2019,4,,,,"50,7"
H29A05,28-02-2019,5,,,,"39,8"
H29A05,05-03-2019,1,175,909,"0,761","32,9"
H29A05,05-03-2019,2,170,626,"0,675","36,8"
H29A05,05-03-2019,3,190,869,"0,767","19,7"
H29A05,05-03-2019,4,157,1015,"0,8","37,7"
H29A05,05-03-2019,5,188,1104,"0,791","37,7"
H29A05,10-03-2019,1,165,776,"0,787",118
H29A05,10-03-2019,2,184,927,"0,801","39,9"
H29A05,10-03-2019,3,243,1109,"0,78","57,5"
H29A05,10-03-2019,4,223,1369,"0,829","47,7"
H29A05,10-03-2019,5,208,1124,"0,814","64,2"
H29A05,15-03-2019,1,189,908,"0,791","22,4"
H29A05,15-03-2019,2,223,888,"0,748","37,7"
H29A05,15-03-2019,3,203,849,"0,76","45,7"
H29A05,15-03-2019,4,330,1029,"0,679","72,4"
H29A05,15-03-2019,5,186,896,"0,792","66,8"
H29A05,30-03-2019,1,193,735,"20,3",
H29A05,30-03-2019,2,169,694,51,
H29A05,30-03-2019,3,161,650,"28,8",
H29A05,30-03-2019,4,191,612,"47,1",
H29A05,30-03-2019,5,173,627,34,
H29A05,29-04-2019,1,281,977,"0,712","55,4"
H29A05,29-04-2019,2,255,1292,"0,802","33,8"
H29A05,29-04-2019,3,297,1165,"0,745","24,8"
H29A05,29-04-2019,4,248,1294,"0,8","15,3"
H29A05,29-04-2019,5,211,1306,"0,784","16,8"
H29A05,04-05-2019,1,322,980,"0,671","28,8"
H29A05,04-05-2019,2,291,520,"0,44","17,7"
H29A05,04-05-2019,3,181,679,"0,733","29,9"
H29A05,04-05-2019,4,201,645,"0,688","11,7"
H29A05,04-05-2019,5,233,627,"0,628","12,8"
H53A63,08-02-2019,1,,,,"33,3"
H53A63,08-02-2019,2,,,,"32,2"
H53A63,08-02-2019,3,,,,"40,9"
H53A63,08-02-2019,4,,,,55
H53A63,08-02-2019,5,,,,"67,7"
H53A63,13-02-2019,1,242,1146,"0,788","0,2"
H53A63,13-02-2019,2,195,1145,"0,829","26,5"
H53A63,13-02-2019,3,185,1069,"0,826","31,5"
H53A63,13-02-2019,4,277,825,"0,664","19,9"
H53A63,13-02-2019,5,187,901,"0,792","34,3"
H53A63,28-02-2019,1,,,,"30,3"
H53A63,28-02-2019,2,,,,"43,5"
H53A63,28-02-2019,3,,,,"46,5"
H53A63,28-02-2019,4,,,,"39,5"
H53A63,28-02-2019,5,,,,29
H53A63,05-03-2019,1,175,909,"0,761","32,9"
H53A63,05-03-2019,2,170,626,"0,675","36,8"
H53A63,05-03-2019,3,190,869,"0,767","19,7"
H53A63,05-03-2019,4,157,1015,"0,8","37,7"
H53A63,05-03-2019,5,188,1104,"0,791","37,7"
H53A63,10-03-2019,1,287,1327,"0,783",24
H53A63,10-03-2019,2,288,1228,"0,765","32,2"
H53A63,10-03-2019,3,283,1475,"0,808","22,2"
H53A63,10-03-2019,4,261,939,"0,722",30
H53A63,10-03-2019,5,241,1326,"0,818",41
H53A63,15-03-2019,1,276,1373,"0,798",24
H53A63,15-03-2019,2,236,1181,"0,8","21,9"
H53A63,15-03-2019,3,236,1136,"0,792","40,2"
H53A63,15-03-2019,4,258,1263,"0,795","41,6"
H53A63,15-03-2019,5,201,995,"0,797","34,1"
H53A63,30-03-2019,1,214,813,"47,7",
H53A63,30-03-2019,2,207,956,"54,1",
H53A63,30-03-2019,3,185,750,"55,1",
H53A63,30-03-2019,4,166,806,41,
H53A63,30-03-2019,5,165,811,"38,6",
H53A63,29-04-2019,1,246,1037,"0,762",29
H53A63,29-04-2019,2,124,521,"0,761","27,7"
H53A63,29-04-2019,3,233,1165,"0,8","15,6"
H53A63,29-04-2019,4,183,860,"0,787","36,2"
H53A63,29-04-2019,5,211,958,"0,779","33,8"
H53A63,04-05-2019,1,267,680,"0,61","20,9"
H53A63,04-05-2019,2,278,791,"0,648","11,7"
H53A63,04-05-2019,3,230,918,"0,749","29,5"
H53A63,04-05-2019,4,233,802,"0,709","18,2"
H53A63,04-05-2019,5,266,887,"0,795","30,1"
H61A13,08-02-2019,1,,,,"41,7"
H61A13,08-02-2019,2,,,,23
H61A13,08-02-2019,3,,,,"26,6"
H61A13,08-02-2019,4,,,,"38,1"
H61A13,08-02-2019,5,,,,"25,2"
H61A13,13-02-2019,1,200,1134,"0,823",43
H61A13,13-02-2019,2,230,1327,"0,826","66,2"
H61A13,13-02-2019,3,259,1392,"0,813","17,4"
H61A13,13-02-2019,4,249,819,"0,695","34,5"
H61A13,13-02-2019,5,206,879,"0,765","41,9"
H61A13,28-02-2019,1,,,,36
H61A13,28-02-2019,2,,,,"18,9"
H61A13,28-02-2019,3,,,,"41,4"
H61A13,28-02-2019,4,,,,"39,3"
H61A13,28-02-2019,5,,,,"21,6"
H61A13,05-03-2019,1,221,948,"0,766",26
H61A13,05-03-2019,2,202,435,"0,535","21,1"
H61A13,05-03-2019,3,232,822,"0,717","31,4"
H61A13,05-03-2019,4,270,734,"0,632","32,4"
H61A13,05-03-2019,5,225,756,"0,702","22,6"
H61A13,10-03-2019,1,240,1184,"0,797","25,1"
H61A13,10-03-2019,2,205,987,"0,792","23,5"
H61A13,10-03-2019,3,203,1093,"0,814",40
H61A13,10-03-2019,4,193,956,"0,798","42,5"
H61A13,10-03-2019,5,196,951,"0,793","37,8"
H61A13,15-03-2019,1,307,1354,"0,773","22,4"
H61A13,15-03-2019,2,302,1364,"0,778","27,1"
H61A13,15-03-2019,3,245,1336,"0,816","29,4"
H61A13,15-03-2019,4,220,1159,"0,81","35,5"
H61A13,15-03-2019,5,274,1227,"0,776","29,2"
H61A13,30-03-2019,1,197,614,"32,7",
H61A13,30-03-2019,2,183,660,"15,6",
H61A13,30-03-2019,3,205,726,"26,5",
H61A13,30-03-2019,4,202,678,"23,4",
H61A13,30-03-2019,5,168,823,"30,2",
H61A13,29-04-2019,1,248,796,"0,688","9,5"
H61A13,29-04-2019,2,219,577,"0,62","20,7"
H61A13,29-04-2019,3,234,841,"0,721","12,6"
H61A13,29-04-2019,4,208,667,"0,692","17,8"
H61A13,29-04-2019,5,244,983,"0,751",18
H61A13,04-05-2019,1,322,1383,"0,767","34,4"
H61A13,04-05-2019,2,282,1167,"0,758","24,4"
H61A13,04-05-2019,3,262,1365,"0,808","17,6"
H61A13,04-05-2019,4,278,1263,"0,779","27,7"
H61A13,04-05-2019,5,242,1125,"0,784","26,5"
