codigo,Fecha ,Mediciones 
H03A04,08-02-2019,
H03A04,13-02-2019,
H03A04,28-02-2019,
H03A04,05-03-2019,
H03A04,10-03-2019,6
H03A04,15-03-2019,4
H03A04,30-03-2019,6
H03A04,15-04-2019,8
H03A04,29-04-2019,"2,5"
H03A04,04-05-2019,6
H04A10,08-02-2019,
H04A10,13-02-2019,
H04A10,28-02-2019,
H04A10,05-03-2019,
H04A10,10-03-2019,8
H04A10,15-03-2019,10
H04A10,30-03-2019,4
H04A10,15-04-2019,"7,5"
H04A10,29-04-2019,7
H04A10,04-05-2019,5
H04A14,08-02-2019,13
H04A14,13-02-2019,
H04A14,28-02-2019,
H04A14,05-03-2019,8
H04A14,10-03-2019,10
H04A14,15-03-2019,
H04A14,30-03-2019,
H04A14,15-04-2019,
H04A14,29-04-2019,
H04A14,04-05-2019,
H04A21,08-02-2019,"9,5"
H04A21,13-02-2019,
H04A21,28-02-2019,
H04A21,05-03-2019,"10,5"
H04A21,10-03-2019,9
H04A21,15-03-2019,6
H04A21,30-03-2019,"5,5"
H04A21,15-04-2019,8
H04A21,29-04-2019,6
H04A21,04-05-2019,6
H07A04,08-02-2019,11
H07A04,13-02-2019,
H07A04,28-02-2019,
H07A04,05-03-2019,7
H07A04,10-03-2019,"5,5"
H07A04,15-03-2019,"7,5"
H07A04,30-03-2019,6
H07A04,15-04-2019,"7,5"
H07A04,29-04-2019,4
H07A04,04-05-2019,5
H07A31,08-02-2019,11
H07A31,13-02-2019,
H07A31,28-02-2019,
H07A31,05-03-2019,7
H07A31,10-03-2019,6
H07A31,15-03-2019,9
H07A31,30-03-2019,6
H07A31,15-04-2019,9
H07A31,29-04-2019,7
H07A31,04-05-2019,8
H08A14,08-02-2019,"9,5"
H08A14,13-02-2019,
H08A14,28-02-2019,
H08A14,05-03-2019,9
H08A14,10-03-2019,7
H08A14,15-03-2019,6
H08A14,30-03-2019,5
H08A14,15-04-2019,6
H08A14,29-04-2019,"9,5"
H08A14,04-05-2019,9
H10A23,08-02-2019,10
H10A23,13-02-2019,
H10A23,28-02-2019,
H10A23,05-03-2019,"6,5"
H10A23,10-03-2019,9
H10A23,15-03-2019,10
H10A23,30-03-2019,5
H10A23,15-04-2019,8
H10A23,29-04-2019,"3,5"
H10A23,04-05-2019,5
H11A54,08-02-2019,9
H11A54,13-02-2019,
H11A54,28-02-2019,
H11A54,05-03-2019,5
H11A54,10-03-2019,7
H11A54,15-03-2019,9
H11A54,30-03-2019,4
H11A54,15-04-2019,6
H11A54,29-04-2019,"4,5"
H11A54,04-05-2019,5
H12A67,08-02-2019,"15,1"
H12A67,13-02-2019,
H12A67,28-02-2019,
H12A67,05-03-2019,"4,5"
H12A67,10-03-2019,8
H12A67,15-03-2019,8
H12A67,30-03-2019,6
H12A67,15-04-2019,"7,5"
H12A67,29-04-2019,3
H12A67,04-05-2019,4
H17A66,08-02-2019,11
H17A66,13-02-2019,
H17A66,28-02-2019,
H17A66,05-03-2019,
H17A66,10-03-2019,9
H17A66,15-03-2019,7
H17A66,30-03-2019,6
H17A66,15-04-2019,8
H17A66,29-04-2019,6
H17A66,04-05-2019,"3,5"
H20A58,08-02-2019,10
H20A58,13-02-2019,
H20A58,28-02-2019,
H20A58,05-03-2019,
H20A58,10-03-2019,7
H20A58,15-03-2019,7
H20A58,30-03-2019,4
H20A58,15-04-2019,7
H20A58,29-04-2019,5
H20A58,04-05-2019,6
H23A17,08-02-2019,
H23A17,13-02-2019,7
H23A17,28-02-2019,
H23A17,05-03-2019,"7,5"
H23A17,10-03-2019,7
H23A17,15-03-2019,7
H23A17,30-03-2019,5
H23A17,15-04-2019,10
H23A17,29-04-2019,11
H23A17,04-05-2019,8
H28A61,08-02-2019,13
H28A61,13-02-2019,
H28A61,28-02-2019,
H28A61,05-03-2019,
H28A61,10-03-2019,6
H28A61,15-03-2019,5
H28A61,30-03-2019,5
H28A61,15-04-2019,8
H28A61,29-04-2019,5
H28A61,04-05-2019,7
H29A05,08-02-2019,
H29A05,13-02-2019,"5,5"
H29A05,28-02-2019,
H29A05,05-03-2019,6
H29A05,10-03-2019,7
H29A05,15-03-2019,5
H29A05,30-03-2019,5
H29A05,15-04-2019,7
H29A05,29-04-2019,"10,5"
H29A05,04-05-2019,5
H29A37,08-02-2019,15
H29A37,13-02-2019,
H29A37,28-02-2019,
H29A37,05-03-2019,
H29A37,10-03-2019,7
H29A37,15-03-2019,7
H29A37,30-03-2019,6
H29A37,15-04-2019,6
H29A37,29-04-2019,3
H29A37,04-05-2019,7
H30A18,08-02-2019,10
H30A18,13-02-2019,
H30A18,28-02-2019,
H30A18,05-03-2019,
H30A18,10-03-2019,10
H30A18,15-03-2019,8
H30A18,30-03-2019,6
H30A18,15-04-2019,8
H30A18,29-04-2019,5
H30A18,04-05-2019,6
H31A12,08-02-2019,7
H31A12,13-02-2019,
H31A12,28-02-2019,
H31A12,05-03-2019,
H31A12,10-03-2019,6
H31A12,15-03-2019,8
H31A12,30-03-2019,6
H31A12,15-04-2019,7
H31A12,29-04-2019,"7,5"
H31A12,04-05-2019,7
H34A11,08-02-2019,8
H34A11,13-02-2019,
H34A11,28-02-2019,
H34A11,05-03-2019,
H34A11,10-03-2019,6
H34A11,15-03-2019,4
H34A11,30-03-2019,5
H34A11,15-04-2019,7
H34A11,29-04-2019,"3,5"
H34A11,04-05-2019,9
H35A39,08-02-2019,"8,5"
H35A39,13-02-2019,
H35A39,28-02-2019,
H35A39,05-03-2019,
H35A39,10-03-2019,8
H35A39,15-03-2019,6
H35A39,30-03-2019,6
H35A39,15-04-2019,5
H35A39,29-04-2019,5
H35A39,04-05-2019,4
H52A42,08-02-2019,
H52A42,13-02-2019,
H52A42,28-02-2019,
H52A42,05-03-2019,
H52A42,10-03-2019,13
H52A42,15-03-2019,9
H52A42,30-03-2019,5
H52A42,15-04-2019,5
H52A42,29-04-2019,"5,5"
H52A42,04-05-2019,8
H53A56,08-02-2019,
H53A56,13-02-2019,
H53A56,28-02-2019,
H53A56,05-03-2019,
H53A56,10-03-2019,8
H53A56,15-03-2019,7
H53A56,30-03-2019,6
H53A56,15-04-2019,8
H53A56,29-04-2019,5
H53A56,04-05-2019,7
H53A63,08-02-2019,
H53A63,13-02-2019,"9,5"
H53A63,28-02-2019,
H53A63,05-03-2019,9
H53A63,10-03-2019,"7,5"
H53A63,15-03-2019,"6,5"
H53A63,30-03-2019,4
H53A63,15-04-2019,8
H53A63,29-04-2019,"4,5"
H53A63,04-05-2019,6
H57A19,08-02-2019,
H57A19,13-02-2019,
H57A19,28-02-2019,
H57A19,05-03-2019,
H57A19,10-03-2019,"6,5"
H57A19,15-03-2019,9
H57A19,30-03-2019,5
H57A19,15-04-2019,6
H57A19,29-04-2019,"6,5"
H57A19,04-05-2019,7
H58A08,08-02-2019,
H58A08,13-02-2019,
H58A08,28-02-2019,
H58A08,05-03-2019,
H58A08,10-03-2019,7
H58A08,15-03-2019,6
H58A08,30-03-2019,4
H58A08,15-04-2019,"5,5"
H58A08,29-04-2019,4
H58A08,04-05-2019,8
H61A13,08-02-2019,
H61A13,13-02-2019,13
H61A13,28-02-2019,
H61A13,05-03-2019,6
H61A13,10-03-2019,7
H61A13,15-03-2019,7
H61A13,30-03-2019,"5,5"
H61A13,15-04-2019,5
H61A13,29-04-2019,4
H61A13,04-05-2019,5
H61A16,08-02-2019,
H61A16,13-02-2019,
H61A16,28-02-2019,
H61A16,05-03-2019,
H61A16,10-03-2019,"6,5"
H61A16,15-03-2019,9
H61A16,30-03-2019,4
H61A16,15-04-2019,3
H61A16,29-04-2019,5
H61A16,04-05-2019,5
H62A31,08-02-2019,
H62A31,13-02-2019,6
H62A31,28-02-2019,
H62A31,05-03-2019,
H62A31,10-03-2019,
H62A31,15-03-2019,"7,5"
H62A31,30-03-2019,6
H62A31,15-04-2019,5
H62A31,29-04-2019,4
H62A31,04-05-2019,4
H69A31,08-02-2019,
H69A32,13-02-2019,
H69A33,28-02-2019,
H69A34,05-03-2019,
H69A35,10-03-2019,11
H69A36,15-03-2019,9
H69A37,30-03-2019,5
H69A38,15-04-2019,6
H69A39,29-04-2019,4
H69A40,04-05-2019,5
H70A11,08-02-2019,
H70A11,13-02-2019,8
H70A11,28-02-2019,
H70A11,05-03-2019,
H70A11,10-03-2019,5
H70A11,15-03-2019,6
H70A11,30-03-2019,"4,5"
H70A11,15-04-2019,"6,5"
H70A11,29-04-2019,"3,5"
H70A11,04-05-2019,6
